iter	Passed	Remaining
0	52	79260
1	112	84519
2	173	86564
3	236	88561
4	297	89080
5	358	89311
6	415	88705
7	472	88093
8	527	87422
9	586	87425
10	647	87635
11	700	86809
12	764	87449
13	825	87646
14	881	87240
15	943	87531
16	1002	87428
17	1057	87078
18	1114	86891
19	1178	87240
20	1241	87429
21	1296	87123
22	1353	86888
23	1409	86657
24	1459	86133
25	1517	86041
26	1581	86304
27	1639	86182
28	1695	85982
29	1756	86059
30	1816	86074
31	1877	86128
32	1929	85787
33	1980	85402
34	2032	85054
35	2089	84967
36	2138	84551
37	2189	84231
38	2248	84223
39	2304	84131
40	2360	84016
41	2416	83879
42	2473	83798
43	2533	83820
44	2591	83795
45	2641	83482
46	2703	83581
47	2753	83305
48	2811	83256
49	2868	83198
50	2917	82878
51	2973	82797
52	3026	82636
53	3078	82431
54	3134	82360
55	3191	82307
56	3251	82303
57	3298	82002
58	3345	81720
59	3395	81493
60	3449	81371
61	3506	81318
62	3560	81216
63	3602	80831
64	3651	80606
65	3703	80474
66	3756	80336
67	3811	80275
68	3861	80087
69	3916	80003
70	3966	79828
71	4028	79904
72	4070	79568
73	4127	79529
74	4185	79524
75	4249	79613
76	4307	79612
77	4364	79563
78	4422	79556
79	4467	79303
80	4513	79065
81	4561	78887
82	4609	78696
83	4666	78656
84	4716	78523
85	4774	78505
86	4833	78502
87	4883	78364
88	4943	78368
89	4995	78262
90	5044	78114
91	5100	78065
92	5146	77867
93	5198	77761
94	5257	77748
95	5313	77703
96	5368	77643
97	5421	77557
98	5472	77444
99	5525	77355
100	5572	77188
101	5623	77068
102	5674	76958
103	5729	76902
104	5785	76865
105	5836	76759
106	5883	76592
107	5935	76497
108	5985	76384
109	6038	76310
110	6089	76204
111	6140	76101
112	6192	76010
113	6246	75941
114	6295	75823
115	6352	75787
116	6397	75627
117	6451	75554
118	6500	75438
119	6547	75298
120	6600	75227
121	6650	75113
122	6700	75013
123	6755	74961
124	6799	74799
125	6853	74733
126	6896	74555
127	6949	74487
128	7002	74423
129	7059	74392
130	7108	74284
131	7159	74198
132	7211	74119
133	7262	74030
134	7310	73912
135	7360	73822
136	7409	73712
137	7470	73727
138	7519	73623
139	7573	73574
140	7619	73437
141	7669	73344
142	7727	73325
143	7784	73300
144	7841	73274
145	7889	73164
146	7943	73115
147	7992	73009
148	8040	72901
149	8100	72901
150	8155	72859
151	8216	72868
152	8222	72387
153	8275	72327
154	8327	72260
155	8383	72224
156	8441	72210
157	8489	72104
158	8531	71951
159	8578	71843
160	8626	71743
161	8677	71672
162	8728	71597
163	8783	71555
164	8830	71446
165	8871	71289
166	8922	71218
167	8974	71151
168	9021	71051
169	9077	71018
170	9134	70989
171	9183	70904
172	9188	70484
173	9243	70445
174	9289	70333
175	9340	70268
176	9395	70227
177	9448	70170
178	9504	70140
179	9551	70044
180	9608	70018
181	9663	69980
182	9710	69882
183	9761	69816
184	9813	69755
185	9870	69730
186	9921	69662
187	9977	69631
188	10036	69616
189	10093	69592
190	10152	69579
191	10198	69474
192	10260	69485
193	10314	69439
194	10356	69305
195	10408	69248
196	10464	69216
197	10508	69103
198	10557	69019
199	10609	68960
200	10660	68894
201	10710	68825
202	10755	68716
203	10801	68619
204	10856	68583
205	10914	68556
206	10964	68491
207	11021	68461
208	11068	68372
209	11119	68303
210	11169	68232
211	11224	68195
212	11269	68095
213	11319	68020
214	11368	67944
215	11417	67869
216	11463	67777
217	11520	67746
218	11575	67708
219	11634	67688
220	11690	67655
221	11742	67601
222	11792	67531
223	11842	67459
224	11891	67384
225	11941	67313
226	11987	67225
227	12037	67159
228	12093	67121
229	12150	67090
230	12208	67066
231	12261	67014
232	12312	66951
233	12358	66862
234	12402	66763
235	12451	66688
236	12502	66628
237	12554	66571
238	12597	66466
239	12644	66385
240	12700	66349
241	12757	66318
242	12798	66202
243	12850	66146
244	12895	66056
245	12945	65989
246	12994	65918
247	13048	65872
248	13098	65810
249	13155	65777
250	13212	65746
251	13260	65670
252	13310	65607
253	13359	65535
254	13412	65485
255	13465	65435
256	13520	65392
257	13568	65319
258	13623	65277
259	13685	65270
260	13732	65190
261	13787	65150
262	13846	65125
263	13898	65069
264	13953	65027
265	13998	64940
266	14047	64869
267	14088	64766
268	14148	64747
269	14196	64674
270	14249	64620
271	14292	64527
272	14341	64456
273	14394	64409
274	14445	64349
275	14502	64315
276	14549	64237
277	14602	64187
278	14658	64151
279	14707	64082
280	14753	64001
281	14801	63928
282	14851	63868
283	14896	63780
284	14943	63707
285	14992	63639
286	15041	63572
287	15094	63521
288	15150	63483
289	15204	63439
290	15260	63401
291	15311	63342
292	15356	63262
293	15405	63194
294	15460	63150
295	15512	63097
296	15569	63063
297	15622	63014
298	15674	62959
299	15720	62883
300	15771	62823
301	15819	62752
302	15868	62687
303	15923	62646
304	15968	62563
305	16020	62510
306	16072	62457
307	16119	62385
308	16166	62311
309	16222	62273
310	16286	62267
311	16333	62194
312	16379	62118
313	16424	62038
314	16475	61979
315	16526	61921
316	16575	61856
317	16635	61832
318	16684	61768
319	16731	61697
320	16781	61636
321	16830	61572
322	16883	61522
323	16931	61453
324	16983	61401
325	17035	61350
326	17092	61313
327	17139	61243
328	17189	61181
329	17238	61118
330	17284	61045
331	17334	60983
332	17384	60924
333	17439	60882
334	17487	60816
335	17538	60757
336	17596	60726
337	17652	60686
338	17700	60620
339	17756	60581
340	17798	60493
341	17854	60454
342	17904	60393
343	17949	60319
344	17995	60246
345	18042	60175
346	18087	60099
347	18136	60038
348	18183	59967
349	18236	59919
350	18289	59871
351	18338	59809
352	18389	59752
353	18441	59700
354	18481	59610
355	18528	59542
356	18582	59495
357	18634	59442
358	18681	59373
359	18735	59328
360	18784	59268
361	18829	59192
362	18878	59133
363	18929	59076
364	18979	59017
365	19024	58946
366	19067	58864
367	19123	58826
368	19171	58761
369	19217	58690
370	19258	58605
371	19314	58567
372	19358	58490
373	19402	58414
374	19452	58358
375	19504	58306
376	19558	58260
377	19605	58193
378	19656	58139
379	19700	58064
380	19756	58024
381	19808	57973
382	19854	57905
383	19909	57860
384	19955	57792
385	20010	57751
386	20060	57693
387	20109	57633
388	20157	57571
389	20201	57497
390	20249	57434
391	20302	57385
392	20345	57308
393	20401	57268
394	20446	57199
395	20500	57153
396	20552	57100
397	20602	57045
398	20651	56984
399	20691	56902
400	20741	56846
401	20789	56784
402	20834	56713
403	20877	56638
404	20924	56573
405	20981	56536
406	21021	56452
407	21066	56382
408	21114	56323
409	21167	56274
410	21219	56222
411	21273	56179
412	21319	56112
413	21361	56036
414	21404	55961
415	21458	55916
416	21507	55856
417	21553	55791
418	21596	55718
419	21647	55664
420	21692	55596
421	21740	55535
422	21792	55486
423	21840	55425
424	21886	55359
425	21932	55294
426	21977	55227
427	22020	55154
428	22065	55087
429	22114	55028
430	22164	54974
431	22214	54920
432	22261	54856
433	22317	54817
434	22371	54770
435	22415	54701
436	22462	54639
437	22506	54570
438	22554	54510
439	22600	54446
440	22657	54407
441	22712	54365
442	22768	54325
443	22818	54270
444	22866	54211
445	22917	54158
446	22970	54112
447	23030	54080
448	23077	54019
449	23119	53946
450	23167	53885
451	23215	53826
452	23265	53771
453	23312	53711
454	23359	53650
455	23405	53586
456	23463	53550
457	23510	53487
458	23562	53439
459	23616	53393
460	23664	53334
461	23715	53282
462	23769	53238
463	23816	53175
464	23863	53114
465	23912	53058
466	23966	53014
467	24022	52973
468	24077	52928
469	24129	52878
470	24180	52826
471	24223	52758
472	24269	52694
473	24327	52658
474	24379	52608
475	24435	52566
476	24492	52528
477	24555	52500
478	24612	52462
479	24657	52396
480	24702	52333
481	24749	52272
482	24795	52208
483	24848	52160
484	24896	52103
485	24950	52058
486	24996	51994
487	25043	51934
488	25087	51867
489	25140	51820
490	25193	51771
491	25248	51727
492	25296	51670
493	25349	51622
494	25398	51566
495	25446	51509
496	25495	51452
497	25548	51405
498	25595	51344
499	25639	51279
500	25692	51231
501	25746	51186
502	25795	51130
503	25837	51060
504	25890	51011
505	25945	50967
506	26006	50935
507	26050	50871
508	26101	50818
509	26154	50771
510	26198	50706
511	26253	50660
512	26319	50638
513	26374	50594
514	26432	50555
515	26478	50494
516	26538	50458
517	26599	50426
518	26648	50369
519	26703	50325
